place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,ChZDSUhNMG9nS0VJQ0FnSURqaUp6Vk5nEAE,5,"We spent 1,5 hours there with a self guided tour and enjoyed it! They provide interesting information and historical facts in every room. Also we were surprised to meet a music festival in the castle yard so we enjoyed it too. Guided tours were all sold out on Saturday midday. Visited on",2 months ago,2024-05-02 22:56:47.523378,,,,2,74,421,True,,
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,ChdDSUhNMG9nS0VJQ0FnSUNqcnMyaTNnRRAB,5,Awesome place to visit. The written guide is enough to immerse yourself in the history of this castle and every room is majestic and beautiful. Amazing atmosphere everywhere. Definitely worth a visit to get to know Ireland a bit better and to see some pieces of art. The tour will take you around 1 hour. You can buy the tickets onsite without any problems if you dont go during weekends.,2 months ago,2024-05-02 22:56:47.530851,,,,1,79,2036,True,,
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,ChdDSUhNMG9nS0VJQ0FnSUNMdThDMWtnRRAB,5,"A must visit if you are interested in Irish history. We were lucky enough to have a guide with us who was very knowledgeable and able to bring the history alive. The castle area itself is lovely to walk around and there is a cafe, a museum and small bookshop. It is free to enter and there are toilet facilities.",a week ago,2024-06-25 22:56:47.534105,,,,0,115,336,True,,
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,ChdDSUhNMG9nS0VJQ0FnSUR6dGRUVnZ3RRAB,5,"If you like art this is your place, each room of the castle has beautiful paintings and small amount of history written on a sign. The castle is very walkable. My family and I only did the self guided tour and we got to see a lot but there were a few perks more if you do the guided tour. It s a cheap get away from the hustle.",2 weeks ago,2024-06-18 22:56:47.537803,,,,1,20,24,True,,
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,ChZDSUhNMG9nS0VJQ0FnSURMcWFTeWZ3EAE,5,"Dublin Castle is a must-visit historical gem in the heart of the city! This iconic landmark spans over 800 years of Irish history, offering a fascinating glimpse into Irelands past. The guided tour is absolutely worth it - knowledgeable guides bring the castles rich history to life with engaging stories and lesser-known facts. From the medieval tower to the opulent State Apartments, every corner exudes historical significance. The beautiful gardens provide a tranquil escape from the busy city. Dont miss the underground excavation site showcasing Viking and medieval Dublin. Whether youre a history buff or just curious, Dublin Castle delivers an enriching, unforgettable experience. A true highlight of any Dublin visit!",4 days ago,2024-06-28 22:56:47.541438,,,,0,45,45,True,,
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,ChdDSUhNMG9nS0VJQ0FnSUN6bThMNy1nRRAB,5,Dublin castle is a nice visit. I visited on a Wednesday and got a free tour to my surprise. Not sure how it happened. The guided tour will take you to places like the life chapel and gunpowder tower which you cannot visit self guided. It was the seat of 750 years of British rule in Ireland. And many historical events took place here. The Irish presidents are sworn to the office here,2 weeks ago,2024-06-18 22:56:47.544645,,,,0,260,2325,True,,
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,ChdDSUhNMG9nS0VJQ0FnSUNMajZIcml3RRAB,3,"Nice looking structure located at a square, very vibrant and easy walking distance to other areas of the city center. There s free self guided tours inside.",a week ago,2024-06-25 22:56:47.547789,,,,0,230,1262,True,,
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,ChZDSUhNMG9nS0VJQ0FnSURqMjVpU1VREAE,5,"A beautiful piece of history here in Dublin. The castle and palace have multiple rooms that are opulent and beautiful, and tons of artwork to enjoy. We spent about 1 hour wandering through the castle and enjoying the interesting furniture, decor, art pieces, and history associated with each room. A guided tour is available for a small increase in ticket price (4 euros), but the self guided tour with the directory is also informative and enjoyable. There is a nice garden to relax in behind the castle, and entrance to the garden is free.",a month ago,2024-06-02 22:56:47.550952,,,,0,687,7555,True,,
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,ChZDSUhNMG9nS0VJQ0FnSURqaU12U1R3EAE,5,Wonderful place to visit. This is a working residence that allows you to wander around rooms and places that king s queens and sitting presidents have walked in. The guide was very informative. Make sure to do the guided tour so you can visit the medieval walls under the building. Good for everyone.,2 months ago,2024-05-02 22:56:47.554221,,,,0,203,1620,True,,
ChIJif9mNYcOZ0gRhlbhwPbNDwU,Dublin Castle,ChZDSUhNMG9nS0VJQ0FnSUN6ck8tbWNREAE,4,Dublin castle showcases state rooms and museums. A lot about Irish history and one spectacular large rooms. Nevertheless when in Dublin it s worth a visit.. the garden behind was nice with lovely views of the castle. And the Chapel Royal.,2 weeks ago,2024-06-18 22:56:47.557374,,,,0,157,334,True,,
